Speaker_ID,main_speaker
980,Daniel Pauly
981,Paul Gilding
982,Vijay Kumar
983,Susan Cain
984,Bryan Stevenson
985,Andrew Stanton
986,James Hansen
987,Jennifer Pahlka
988,Kelli Anderson
989,Larry Smith
990,Greg Gage
991,Chris Anderson (TED)
992,Rob Reid
993,Scott Summit
994,Mark Raymond
995,T. Boone Pickens
996,Noel Bairey Merz
997,Taylor Wilson
998,Billy Collins
999,Jer Thorp
1000,Peter Saul
1001,Donald Sadoway
1002,Regina Dugan
1003,Leymah Gbowee
1004,Ayah Bdeir
1005,Daniel Schnitzer
1006,Rick Falkvinge
1007,Tierney Thys +  Plankton Chronicles Project
1008,Sherry Turkle
1009,Chip Kidd
1010,Jack Choi
1011,Lucy McRae
1012,Carvens Lissaint
1013,Jonathan Foley
1014,Frank Warren
1015,Frans de Waal
1016,Tal Golesworthy
1017,Abigail Washburn
1018,Atul Gawande
1019,Drew Curtis
1020,Laura Carstensen
1021,Christina Warinner
1022,Michael Norton
1023,Jon Bergmann
1024,Eduardo Paes
1025,Nancy Lublin
1026,Joe Smith
1027,Brenda Romero
1028,Reuben Margolin
1029,Gary Kovacs
1030,Tavi Gevinson
1031,Rick Guidotti
1032,Michael Tilson Thomas
1033,JP Rangaswami
1034,Karen Bass
1035,Joshua Foer
1036,Jos̩ Bowen
1037,Bart Knols
1038,Tali Sharot
1039,Jean-Baptiste Michel
1040,Carl Schoonover
1041,Michael McDaniel
1042,Melissa Garren
1043,Philippe Petit
1044,Shereen El-Feki
1045,Reggie Watts
1046,David MacKay
1047,Ken Goldberg
1048,William Noel
1049,Dalia Mogahed
1050,Sebastian Deterding
1051,Quixotic Fusion
1052,Seth Shostak
1053,David Birch
1054,Diane Kelly
1055,Damian Palin
1056,Ami Klin
1057,John Hockenberry
1058,Rebecca Onie
1059,Beeban Kidron
1060,Sarah Parcak
1061,LZ Granderson
1062,Rodney Mullen
1063,Megan Kamerick
1064,David R. Dow
1065,Ivan Oransky
1066,Peter Norvig
1067,Wolfgang Kessling
1068,Jon Nguyen
1069,Nirmalya Kumar
1070,Massimo Banzi
1071,Don Tapscott
1072,Elyn Saks
1073,Boaz Almog
1074,Alanna Shaikh
1075,Cesar Harada
1076,Usman Riaz + Preston Reed
1077,Jonathan Eisen
1078,Chris Gerdes
1079,Marc Goodman
1080,Jared Ficklin
1081,Todd Humphreys
1082,Gabriel Barcia-Colombo
1083,Mina Bissell
1084,Jamie Drummond
1085,Baba Shiv
1086,Matt Mills
1087,Neil Harbisson
1088,John Graham-Cumming
1089,Vinay Venkatraman
1090,James Stavridis
1091,Malte Spitz
1092,Tracy Chevalier
1093,Ramesh Raskar
1094,Michael Hansmeyer
1095,Noah Wilson-Rich
1096,Giles Duley
1097,Michael Anti
1098,Stephen Ritz
1099,Daphne Koller
1100,Becci Manson
1101,Mark Applebaum
1102,Hannah Fry
1103,Scilla Elworthy
1104,Margaret Heffernan
1105,Max Little
1106,Pam Warhurst
1107,Kirby Ferguson
1108,Lisa Kristine
1109,Mark Forsyth
1110,Ivan Krastev
1111,Caitria + Morgan O'Neill
1112,Jon Ronson
1113,Timothy Prestero
1114,Rob Legato
1115,Shyam Sankar
1116,Antony Gormley
1117,Jonathan Trent
1118,Kent Larson
1119,Scott Fraser
1120,Vikram Patel
1121,Leslie T. Chang
1122,Susan Solomon
1123,Wayne McGregor
1124,Beth Noveck
1125,Tristram Stuart
1126,Sarah-Jayne Blakemore
1127,Andrew Blum
1128,Bandi Mbubi
1129,Ed Gavagan
1130,Andrew McAfee
1131,Read Montague
1132,Bahia Shehab
1133,Aris Venetikidis
1134,Vicki Arroyo
1135,Amy Cuddy
1136,Jason McCue
1137,Thomas P. Campbell
1138,Tim Leberecht
1139,Ruby Wax
1140,Melissa Marshall
1141,Maurizio Seracini
1142,Eddie Obeng
1143,John Wilbanks
1144,Beau Lotto + Amy O'Toole
1145,Heather Brooke
1146,Ryan Merkley
1147,Pankaj Ghemawat
1148,David Pizarro
1149,Lemn Sissay
1150,Doris Kim Sung
1151,Sanjay Pradhan
1152,Emma Teeling
1153,Adam Garone
1154,Faith Jegede Cole
1155,Matt Killingsworth
1156,Jake Wood
1157,Gary Greenberg
1158,Georgette Mulheir
1159,Jeff Hancock
1160,Julie Burstein
1161,Arunachalam Muruganantham
1162,Hannah Brencher
1163,Leah Buechley
1164,David Binder
1165,Daphne Bavelier
1166,Amos Winter
1167,Sleepy Man Banjo Boys
1168,Candy Chang
